Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,test_mse,test_r2
2023-09-11 17:48:37,4.2min,e194d468b8e443dea1e66d208eb523c1,method-mini-lr-0.01-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.204929136448571,0.4188054599493516
2023-09-11 19:15:30,4.7min,2801d6b1a09845f5896b71b954958656,method-mini-lr-0.01-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.20463948752581523,0.4183354563903805
2023-09-11 17:35:18,4.5min,6b3c8716edce4f609973d249d6672c73,method-mini-lr-0.01-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.20504699486060496,0.4169750237517704
2023-09-11 17:14:29,3.4min,4b11a26d9dac4a769a50ec6f17385cc5,method-sto-lr-0.0001-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.20500446452143067,0.41666007589239673
2023-09-11 18:54:57,2.3min,e2cda4402f1a4f058e42d81e686c50a2,method-sto-lr-0.001-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.20503919504435808,0.4165960374214206
2023-09-11 19:07:13,3.5min,68ced094497e45a8845949f08ed3cc78,method-mini-lr-0.001-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.20508073779221994,0.4161800275392019
2023-09-11 17:39:50,4.0min,fb22c4535b264d81898426c5a56951dd,method-mini-lr-0.001-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.20529810943915258,0.4159307944801086
2023-09-11 17:25:17,3.2min,4087955bb18d4bdf9d2596791897ed83,method-sto-lr-0.001-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.20490755740032013,0.4159226828309932
2023-09-11 18:45:33,2.5min,9c2918533302449ea9ae2a11533a2cec,method-sto-lr-0.0001-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.205319066657699,0.4137979293880715
2023-09-11 17:17:51,7.4min,5a85ecbae91a4b5ca1c72e3f1e32305f,method-sto-lr-0.01-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.2062491827696204,0.4096867741454716
